fragment;textbook-assigned cefr level
Я, мама, папа и бабушка будем смотреть игру по телевизору, а потом будем ждать Виктора дома. Бабушка будет готовить наш любимый торт. Вечером мы вместе будем пить чай.;A1
Вы платите за квартиру и транспорт, покупаете одежду и продукты, отдыхаете и даже путешествуете, и у вас ещё есть деньги.;A1
Но в Москве жили его друзья, поэтому он часто бывал в Москве. Он очень любил Москву. «Москва!»;A1
В 12 часов она пьёт кофе и изучает новые модные журналы, а в 14 часов она идёт с коллегами на обед.;A1
Он стал инженером и занимается компьютерами. Его жена говорит, что он живёт в Интернете. Он часто ездит в другие страны, но видит там только компьютеры. Он очень любит Японию.;A1
Он работает с утра до вечера, иногда даже в субботу и в воскресенье. Он знает иностранные языки. Он говорит по-английски и по-немецки.;A1
Я смотрю в окно и вижу весь Париж! В нашем доме живут очень разные люди: дизайнеры и менеджеры, пенсионеры и студенты.;A1
На стене висит красивая картина. Справа стоит шкаф. Вторая комната — это одновременно кухня и столовая. Я и моя семья готовим и едим здесь.;A1
Он спрашивал меня о моей диссертации, но, к сожалению, он немного знает об искусстве. Но это, по-моему, не проблема. Семья Жени живёт в этом районе всю жизнь.;A1
Он хорошо знает русский язык, но не говорит по-английски. Когда Стив и Пьер вместе, они говорят по-русски или по-французски. У меня есть брат. Он говорит только по-русски.;A1
Праздник продолжается неделю и заканчивается в феврале. Мы ходим в гости и дарим друг другу мандарины как символ золота. Это мой самый любимый праздник!;A1
Что сегодня делают наши герои? Аманда читает журнал. Она читает статью и пишет конспект. А Тони отдыхает, слушает музыку. Сейчас он слушает русскую песню.;A1
В спальне мы отдыхаем и читаем вечером. В детской стоит кровать, стол и стул, маленький шкаф, книжные полки и музыкальный центр.;A1
Сегодня часто думают, что пиджак и галстук значат, что у вас есть хорошая работа и вы серьёзный человек.;A1
Поезд пришёл в Москву в 8:30, и мы сразу поехали в гостиницу «Россия». Мы хорошо позавтракали и пошли на Красную площадь. Это главная площадь Москвы, и она нам очень понравилась.;A1
Он работает очень много и иногда даже не помнит, когда обеденный перерыв. А Наталья днём изучает немецкий язык. Она уже знает английский и испанский. Но язык — это всегда интересно.;A1
Привет всем! Вы меня помните? Меня зовут Фрэнк. Я студент из Америки, из Лос-Анджелеса. Я изучаю медицину и русский язык.;A1
Он живёт в деревне. Его дом находится не очень далеко от моря. Пётр не рыбак, он дизайнер, но его друзья — профессиональные рыбаки. У них есть рыбацкая лодка и сети.;A1
Если по телевизору футбол, он смотрит футбол. Если хороший фильм, он смотрит фильм. Потом он ужинает, слушает музыку и спит.;A1
В субботу Мария, Клара, Том были на экскурсии «Пушкин в Москве». Это была очень интересная экскурсия. Вот что говорят друзья.;A1
В 17:45 я иду в супермаркет и покупаю продукты. Потом я иду домой и готовлю ужин. До ужина я ещё убираю квартиру. В 20:00 я ужинаю.;A1
Магазин далеко, а Марина рядом: я живу в квартире двадцать пять, она живёт в квартире двадцать шесть. Марина красивая и добрая. Я не люблю магазины, но я люблю Марину.;A1
Меня зовут Наташа. Я живу в городе Сочи и работаю в картинной галерее. Я продаю картины. Мне очень нравятся искусство и моя работа.;A1
А Виктор больше любит слушать музыку, поэтому он часто ходит в филармонию. Летом в субботу и в воскресенье они всегда ездят за город.;A1
Меня зовут Майкл. У меня есть семья: жена Патрисия и сын Патрик. Патрик — студент, а Патрисия — экономист. У меня тоже есть работа: я менеджер.;A1
Они пишут, что здесь холодно, мало солнца. Но Пьер думает, что это не важно. В Санкт-Петербурге красивые дворцы, здания, парки, площади, люди. Пьер хочет писать о них.;A1
Он играет главного героя Антона Городецкого. Но здесь он мне совсем не понравился. Его герой очень скучный, и играет он ужасно.;A1
Что едят русские? Многие иностранцы знают, что такое борщ. Русские и украинцы всё время спорят, чей это национальный суп, русский или украинский.;A1
На ярмарке я купила много овощей и фруктов. Я разговаривала с продавцами и узнала много интересного о жизни в деревне. Ярмарка — это всегда праздник!;A1
На остановке трамвая стоит старушка, наверное, она едет на рынок. Автобусы, троллейбусы, трамваи ходят ещё редко. А вот молодой человек. У него большой чемодан. Он поднимает руку и останавливает такси.;A1
Аманда: Написала, хотя последнюю фразу я написала уже во вторник, в два часа дня. Я очень спешила. Я быстро оделась, почистила зубы и пошла в университет.;A1
Сначала я учу новые слова или фразы, а потом пишу в тетради, что я помню. Если я делаю в слове ошибку, я пишу его ещё несколько раз.;A1
Мария — студентка из Германии. Она хорошо сдала все экзамены и поступила в Московский университет на экономический факультет. Она учится с удовольствием, ей нравятся все предметы.;A1
Там они ели русский суп, пироги с картошкой, пили русский сок. Обед был очень вкусный. Тому понравился суп, а Нику понравились пироги.;A1
А ещё он хочет говорить по-русски на работе, на улице, в магазине, в ресторане. Эрик говорит, что русский язык трудный, но очень красивый.;A1
Раньше я думала, что кухня большая, но недавно мы купили новый холодильник. Теперь я думаю, что кухня маленькая! Вот третья комната, это ванная.;A1
Люди играют в футбол уже 150 лет. Сегодня эта английская игра — самый популярный и массовый вид спорта в мире.;A1
Там они гуляют в парке, играют в волейбол, загорают. Вчера была суббота. Антон утром ходил в магазин, купил там продукты, а вечером он ходил на день рождения.;A1
И сыновья, и муж играют в компьютерные игры. Я понимаю, когда они играют час или два. Но они могут играть весь день! Начинают играть утром и кончают вечером.;A1
На ужин едят рыбу, капусту и огурец. Самая приятная диета — шоколадная! Да, это значит, что, когда вы на диете, вы едите шоколад!;A1
Наш город Петербург. Он не очень старый. Здесь есть новые широкие проспекты и старые узкие улицы. Главная улица — Невский проспект. Он длинный и широкий.;A1
Я — Эрик Ларссен, бизнесмен из Швеции. Я обычно завтракаю в 8 часов 15 минут. На завтрак я обычно ем булочку или бутерброд и пью кофе. Днём я работаю.;A1
Григорий Перельман — известный российский математик. Он учился в университете в Санкт-Петербурге. Он хорошо сдавал экзамены и получал отличные оценки.;A1
Команда «Спартак» играла хорошо, но итальянский «Интер» играл в этот день лучше. Наши футболисты возвращались со стадиона на автобусе. Они говорили о футболе, и ещё они вспоминали о метро.;A1
Погода была отличная: светило солнце, было тепло, но не жарко. Я прекрасно провёл время с друзьями в Суздале!;A1
Раньше обычные люди не могли изучать иностранные языки, а сегодня все изучают иностранный язык в школе, но ещё не все умеют хорошо говорить. Очень большой прогресс, конечно, в медицине.;A1
Добро пожаловать в мою квартиру! В квартире четыре комнаты и коридор. Вот первая комната, здесь спальня. Она очень уютная. Около окна стоит кровать, рядом находится стол и небольшое кресло.;A1
Меня зовут Антон. Я живу в Москве. Э?то мой родной город. Вот Красная площадь. На площади находятся Кремль, музей и большой магазин. А это ресторан.;A1
Швеция: рыба, рыба и ещё раз рыба. Швеция находится на море, а шведы очень любят рыбу. Даже традиционный скандинавский завтрак — это свежая рыба с картофелем, овощами, яйцами.;A1
Они строят дом. И мама, и мальчики думают, что это очень интересная игра. Потом они все вместе гуляют. Потом мальчики отдыхают, а Наташа делает обед.;A1
Я не читал книгу, но думаю, она тоже очень интересная. Говорят, что в фильме есть реклама. Неправда! Там показывают современный город! Важно думать не о рекламе, а об идее кино.;A1
Но этот популярный английский завтрак англичане едят только в выходные. Обычно они едят на завтрак кашу (овсянку), яйца, а пьют сок, кофе или чай.;A1
В последнее время люди, особенно в богатых странах, всё больше и больше ездят на машинах: на работу, на отдых, в гости и даже в соседний магазин.;A1
На кухне стоит стол и стулья, на столе — самовар и чашки. Ещё там стоит газовая плита и холодильник. Посуда на полке на стене и в шкафу.;A1
Он не понимает все слова, но думает, что музыка хорошая. Кейтлин гуляет. Она не пишет сочинение и не читает текст. Джош тоже не делает домашнее задание. Он играет в футбол.;A1
Мы были в музее, в красивом соборе, в Кремле. Потом мы обедали в ресторане. Погода была хорошая, и мы много фотографировали.;A1
Армия всегда играла большую роль в истории России. Не все мужчины хотят идти в армию, но почти все после армии любят говорить о ней.;A1
Сейчас он ещё плохо говорит по-русски, потому что изучает русский язык только месяц. Эрик очень хочет смотреть русские программы по телевизору, но сейчас он смотрит только спорт и «Прогноз погоды».;A1
А деньги на бары и дискотеки дают родители. Не могу же я ещё и работать! Когда?! Днём я хожу в университет, учусь, вечером и ночью отдыхаю, а утром я сплю».;A1
Каждый день я учусь: утром и днём слушаю лекции, а вечером делаю домашние задания. И вообще, книги сейчас стоят дорого. А у меня финансовые проблемы, потому что я не работаю.;A1
Его зовут Евгений, Женя Кузнецов. Мы познакомились позавчера, когда я была у Кати. Женя очень приятный молодой человек. Мы вместе гуляли, и он показал район.;A1
Но он изучает русский уже год, а я только месяц. Конечно, он уже хорошо знает русский. У него уже есть прогресс, а у меня ещё нет.;A1
Осенью листья в парке красные, жёлтые, зелёные. Это очень красиво! Весной Виктор любит лето, потому что летом каникулы. Летом он ездил на море и отдыхал там.;A1
Моя семья предпочитает есть такой большой завтрак только в выходные, когда у нас есть время и мы не спешим на работу. Мы долго завтракаем и разговариваем.;A1
Каждый год строят новые номера и делают новый интересный дизайн. Температура ночью может быть -3 или -4 градуса. Конечно, в номере нет душа и туалета, они в тёплой части отеля.;A1
Это спорткомплекс «Лужники». Сегодня Егор приехал сюда, потому что у него тренировка. Каждое воскресенье Егор приезжает сюда и играет здесь в футбол.;A1
Все говорят, что мама — хорошая хозяйка. А ещё наша мама любит петь. Она часто слушает оперу, а иногда по радио. Бабушка смотрит телевизор каждый день. Она очень любит смотреть сериалы.;A1
Я — бухгалтер. Я работаю в банке. Я встаю в 6:30 и принимаю душ, а в 9:00 я уже в банке на работе.;A1
Каждый день я повторяю всё, что мы делали в классе на уроке. И, конечно, каждый день я учу новые слова.;A1
Синий цвет автомобиля предпочитают рациональные, умные и не очень эмоциональные люди. Они хорошие друзья. Фиолетовый цвет выбирают творческие люди. У них часто хорошая интуиция.;A1
Часто марокканцы завтракают не дома, а, например, на Медине. Медина — это большой базар, где есть всё! Италия: простой завтрак. Итальянцы едят всегда и везде.;A1
Мы говорили о природе, о погоде, было очень весело. В среду я встретил на улице Виктора. Мы с ним договорились встретиться на стадионе. Мы любим играть в футбол.;A1
Турки очень любят кофе, но на завтрак пьют чай с мёдом. Марокко: завтрак без апельсинов. Откуда все апельсины и мандарины в магазине? Конечно, из Марокко, там это национальный продукт.;A1
Он много плавал, загорал и ходил в горы. Иван любит зиму, потому что зимой он отдыхает в деревне. Недавно Иван ездил в деревню. Там он гулял в лесу.;A1
Из окна вагона мы видели Россию и Украину, их природу, деревни и города. В Симферополе мы были утром. В Ялту ходят автобусы, троллейбусы, можно ехать и на такси.;A1
И в наше время люди на далёком севере ездят на собаках, и в северных странах, например, в Канаде, это новый популярный спорт.;A1
Это было время сайтов, а сейчас время соцсетей. Социальные сети — это параллельный мир, и он играет в реальном мире большую роль.;A1
Лариса: «Я обычно никуда не хожу. В прошлое воскресенье я никуда не ходила и в следующее тоже никуда не иду. Отдых для меня — это сон».;A1
Осенью холодно. Но Анна любит осень, потому что осень — очень красивое время года. Сейчас Анна идёт в парк. Она любит гулять там, особенно осенью.;A1
Недивно мы вместе с подругой были в театре и посмотрели балет «Откуда и куда?». Это новый философский балет.;A1
Сегодня мы почти все живём в виртуальном мире, хотим мы или нет. Много лет назад Билл Гейтс говорил: «Если компании нет в Интернете, её нет в бизнесе».;A1
Мой папа любит смотреть телевизор и играть в гольф. У меня есть сестра. Её зовут Мэгги. Она школьница. Мэгги очень хорошо рисует. Она ненавидит делать домашнее задание.;A1
В гостиной мы отдыхаем, смотрим телевизор, говорим, играем на пианино и слушаем музыку. В спальне кровать, большой шкаф, лампа на тумбочке и картина на стене.;A1
И мужчины, и женщины отдыхают. В Китае, например, это рабочий день, а на Мадагаскаре восьмого марта отдыхают только женщины.;A1
В свободное время он очень любит читать. В его комнате большая библиотека. Он говорит, что книга — хороший друг. А мой хороший друг — компьютер. Я очень люблю играть на компьютере.;A1
Я люблю сидеть в баре, где работает мой друг, и покупать продукты в маленьком магазине, где работает наш сосед.;A1
Меня зовут Карл. Мне 16 лет. Я из Австрии. У меня есть 3 сестры и старший брат. Мои родители — фермеры.;A1
Но, к сожалению, Саша делает это только в понедельник, среду и пятницу. Но наши соседи думают, что это к счастью. А Петя не любит музыку. Но он любит спорт.;A1
А один мой студент, дирижёр, летает на работу на самолёте почти каждый день! Правда, уже сейчас люди могут работать дома в интернете, а не ездить на работу!;A1
Интересно в этой истории то, как спортсмены ехали на стадион. Итальянцы жили в гостинице недалеко от стадиона. И они быстро приехали на своём автобусе на стадион «Лужники».;A1
Вы его, конечно, тоже знаете, но называете «русский салат». Ингредиенты в «Оливье» очень простые. Это картофель, морковь, зелёный горошек, яйца, солёные огурцы и мясо. Иногда этот салат делают без мяса.;A1
Все мы любим пить на завтрак свежий апельсиновый сок. Но марокканцы не едят на завтрак апельсины и мандарины. Они едят сыр, йогурты, орехи и мёд, пьют кофе или зелёный чай.;A1
Психологи думают, что цвет машины говорит многое о характере её владельца. Красный цвет машины предпочитают активные, импульсивные и иногда агрессивные люди. У них сильная энергетика. Итальянцы, например, очень любят красные машины.;A1
Её зовут Катя. Некрасивая, но очень добрая девушка. Врачи в этой больнице тоже очень хорошие. Мой глаз видит хорошо. Моя рука работает отлично. Всё нормально. Я могу идти домой.;A1
Это Виктор и Лена. Они муж и жена. Они ещё очень молодые. Виктор и Лена студенты. Они учатся в Петербургском университете. Виктор и Лена очень любят друг друга.;A1
Люди ходят по улице, поют, танцуют, поздравляют друг друга: «С Новым Годом!» Это очень весело! А потом мы всегда идём в гости к друзьям.;A1
Уже 10 часов, пора вставать. Я встаю и принимаю ванну. Потом я бреюсь. В 11 часов я завтракаю. Во время завтрака я читаю газеты и курю.;A1
Иногда Анастасия ходит в ресторан, а иногда обедает в офисе. Она не любит обедать долго и говорит, что время — деньги.;A1
В 9:30 я иду на работу в Большой театр. В 14 часов время обеда. Я обедаю на работе. Я ем салат и пью воду.;A1
Меня зовут Кентаро Сато. Я — бизнесмен из Японии. Когда я учился в школе, я изучал математику, химию, физику, историю, японский язык.;A1
После урока я всегда обедаю в ресторане в центре города. Потом я иду в музей на выставку. Мой любимый художник — Марк Шагал.;A1
Но Наташа так не думает. Как хорошо, когда дома чисто и красиво! А вечером все дома. Все вместе ужинают, иногда смотрят телевизор.;A1
Нина ела рыбу и овощи, пила кофе с молоком. Ей тоже понравился обед. Вечером друзья приехали в Москву. Они очень устали, но были рады, что увидели много интересного.;A1
А ещё у меня есть брат. Его зовут Виктор. Он не работает, он студент. Виктор очень хорошо говорит по-английски и по-немецки. У нас есть сестра. Её зовут София. Она дизайнер.;A1
В понедельник мы с Пьером ходили в кинотеатр. Мы смотрели фильм о любви, а когда шли домой, говорили о фильме, о девушках. Во вторник мы с Наташей гуляли в лесу.;A1
Катастрофа! У меня новые соседи! Они живут наверху, это большая и шумная семья. Папа — музыкант.;A1
Вечером он сначала делает домашнее задание, а потом смотрит телевизор. Он часто слушает музыку. Он любит слушать музыку в свободное время.;A1
Это Стив. Он американец. Конечно, он хорошо говорит по-английски. Он неплохо знает французский язык. А по-русски он говорит ещё не очень хорошо.;A1
Здесь поэт работал, писал стихи. Я был в их гостиной. Здесь Пушкин и его жена отдыхали, слушали музыку. Здесь были их друзья.;A1
Он тоже романтик. Ещё у меня есть жена и дети: сын и дочь. Моя жена — учитель, как я. Я очень её люблю.;A1
Люблю пиво, могу пить его весь вечер. Моё любимое пиво — «Тинькофф». Иногда я хожу в ночные клубы на дискотеки, могу танцевать всю ночь.;A1
Это хрущёвка — небольшой, старый, не очень красивый дом в городе. В доме 5 этажей и много квартир. Думаю, что квартиры здесь неудобные.;A1
Клаусу очень нравится Петербург. Особенно он любит утренний город. Почти каждый день он гуляет по городу и выбирает сюжет новой картины.;A1
В обычные дни ели немного, например, на завтрак (а завтракали рано, в 4–6 часов) ели хлеб и пили квас, молоко или чай.;A1
В воскресенье рано утром мы поехали в Загорск и были там целый день. Поздно вечером мы уехали в Петербург. Экскурсия была короткая, но очень интересная. Мы часто вспоминаем о ней.;A1
А что делает Денис? Он играет в шахматы. А что делают их хозяева? Зоя Степановна делает салаты. Римма Юрьевна дома и убирает квартиру. Марат Азатович работает. А где Светлана Борисовна?;A1
Я смотрел фильм «Ночной дозор» в кинотеатре. Мне совсем не понравилось! Я люблю фантастику, я очень люблю Анатолия Лукьяненко. Я читал его книгу, и она мне очень понравилась.;A1
Это наша гостиная. В центре стоит диван. Справа на полу — лампа, а слева — растение. Наверху висит люстра. На стене висит полка. На полке стоят три книги и фотография.;A1
В Новосибирске уже зима. Завтра будет идти снег и дуть холодный ветер, температура воздуха ?3–5 °С. И, наконец, юг России. В Сочи будет жарко, солнце, температура воздуха 22–25 градусов.;A1
Меня зовут Виктор. Я студент. Моя родная страна — Россия. Я хорошо говорю по-русски. Это мой родной язык. Я хорошо говорю по-английски и неплохо по-французски. У меня есть друзья. Они иностранцы.;A1
Я ещё не очень хорошо говорю по-русски, но мой преподаватель говорит, что у меня есть талант. Я играю на гитаре. Это моё хобби.;A1
В этот день все едут в магазины, на рынки, покупают продукты для праздника и обязательно убирают квартиру или дом. Город очень яркий, красивый.;A1
Джон плохо понимает текст. Он немного ленивый и не всегда аккуратно делает домашнее задание. Он не знает слова «договориться», «одинаковый», «вежливый», «обязательно».;A1
Люди в Москве думают, что они очень важные. Они любят всё дорогое и красивое: дорогие часы, большие и быстрые машины, популярные бренды. Все туристы любят Санкт-Петербург.;A1
И он решил написать свою оперу «Великан». Это была первая музыка маленького Серёжи. Сначала Сергей учился дома, а потом он успешно сдал экзамены в консерваторию.;A1
Например, каждое утро на завтрак она делает ароматный кофе или шоколад. А когда муж читает газеты или слушает новости, Наташа делает для него горячие бутерброды или блины.;A1
Сейчас Игорь и Ольга идут вместе. Они спешат. А вот Андрей. Он тоже спешит. Он хочет взять такси и ехать на работу на такси.;A1
Их маленькие дети любят играть в пинг-понг в квартире и в футбол на улице, во дворе. Их мама — актриса. Она очень элегантная, но импульсивная женщина.;A1
На обед и ужин китайцы едят то же самое. В выходные на завтрак едят пирожки и блины. Их делают в сковороде, которая стоит в центре стола.;A1
