source,cos_sim,target,level
"— Да, я хочу тебе кое-что сказать, — зашептала она, сжимая мне руку. — Я тебя люблю, жить без тебя не могу, но… не езди ко мне, милый мой! ",0.6947233665263228,"И однажды Сергей сказал ей: — Ольга, мне кажется, что ты хочешь что-то мне сказать. — Да, я хочу тебе кое-что сказать, — зашептала она. — Я тебя люблю, жить без тебя не могу, но… не езди ко мне, милый мой! ",b1
"- злобно осклабился Рогожин, не трогаясь с места: - Рогожина не узнал?",0.7277760115517079,"— злобно засмеялся Рогожин, не трогаясь с места. — Рогожина не узнал?",b1
"У лукоморья дуб зеленый, златая цепь па дубе том… златая цепь на дубе том… Я с ума схожу… У лукоморья… дуб зеленый… Ольга. ",0.7657951543237244,"У лукоморья дуб зелёный, златая цепь на дубе том... ",b2
Через пять минут он выбежал из дома и в зубах за рубашонку нес девочку. ,0.5317288538896361,Он нёс в зубах за рубашку девочку. ,a2_b1
"2 — Вскоре после Крымской войны (я не виноват, господа, что у нас все новые истории восходят своими началами к этому времени) я заразился модною тогда ересью, за которую не раз осуждал себя впоследствии, то есть я бросил довольно удачно начатую казенную службу и пошел служить в одну из вновь образованных в то время торговых компании. ",0.1959224268662827,Работал я в одной из торговых компаний в городе Р. ,b1_c1
"Сережа тотчас понял, что то, о чем говорил швейцар, был подарок от графини Лидии Ивановны к его рожденью",0.7610157546577483,"Серёжа тотчас понял, что то, о чём говорил слуга, был подарок от графини Лидии Ивановны к его рождению. ",b1
Приходите в половине двенадцатого. ,0.47303263068618,Ровно в половине двенадцатого Германн вошёл в дом. ,b1
"Моя идея - что человек выдуман только для одной идеи, а идея господина в очках - что он поэт, и это самая странная из всех вышеписанных идей. ",0.8169253014167921,"Моя идея — что человек выдуман только для одной идеи, а идея господина в очках — что он поэт, а это самая странная из всех идей. ",b1_c1
"Он раз зашел в горы, в ясный, солнечный день, и долго ходил с одною мучительною, но никак не воплощавшеюся мыслию. ",0.4890438998880119,Он раз зашёл в горы и долго ходил с одною мыслью. ,b1
"У лукоморья дуб зеленый, златая цепь на дубе том… Златая цепь на дубе том… (Плаксиво.) ",0.741480195635763,"У лукоморья дуб зелёный, златая цепь на дубе том... ",b2
"А завтра вечером я уже не буду слышать этой «Молитвы девы», не буду встречаться с Протопоповым… Пауза.",0.8980772647016886,"А завтра вечером я уже не буду слышать этой «Молитвы девы», не буду встречаться с Протопоповым... ",b2
"И помолодела, и на мальчишку стала похожа лицом.",1.0000000000000002,"И помолодела, и на мальчишку стала похожа лицом.",b2
"Вера Иосифовна, уже сильно постаревшая, с белыми волосами, пожала Старцеву руку, манерно вздохнула и сказала: — Вы, доктор, не хотите ухаживать за мной, никогда у нас не бываете, я уже стара для вас. ",0.5421869416390082,"Она встретила его сосло вами: — Вы, доктор, не хотите ухаживать за мной, никогда у насне бываете, я уже стара для вас. ",b1
"Я первым сказал про шкуру, со мной и стреляться",0.2791670327209949,"— Нет, — не согласился Зуров. — Я первым сказал про дуэль. ",b1
"На другой день, в восемь часов утра, Анна вышла одна из извозчичьей кареты и позвонила у большого подъезда своего бывшего дома",0.8290041503849765,"На другой день, в восемь часов утра, Анна вышла одна из кареты и позвонила у подъезда своего бывшего дома. ",b1
"Живет она где-то в какой-то Матросской улице, в небольшом, неуклюжем домике, у Дарьи Алексеевны, а экипаж ее чуть не первый в Павловске. ",0.648962245723509,"Живёт она где-то в Матросской улице, в маленьком старом домике, а экипаж её чуть не первый в Павловске. ",b1
"Мне при этом всегда вспоминаются довольно циничные, но справедливые слова одного русского генерала, который говорил про немцев: какая беда, что они умно рассчитывают, а мы им такую глупость подведем, что они и рта разинуть не успеют, чтобы понять ее. ",0.7571601769051097,"Один русский генерал говорил про немцев: какая беда, что они умно рассчитывают, а мы им такую глупость подведём, что они и рта разинуть не успеют, чтобы понять её. ",b1_c1
"Безусловно, — пожал плечами Мизинов. — и был бы счастлив видеть его главой российского правительства. ",0.5653887142551178,"И был бы счастлив, если бы он стал главой российского правительства. ",b1
"– Ну и прекрасно, теперь я спокоен. ",0.6595806176703302,"Он прямо после чая мне сказал. — Ну и прекрасно, теперь я спокоен. ",b1
"— Погодите, Эраст Петрович, но ведь Али-бей действительно существовал! ",0.4659373885747001,"— Подождите, Эраст Петрович, но Али-бея видели наши шпионы в Плевне! ",b1
То-то Казанзаки его «вундеркиндом» обозвал. ,0.2290607512942382,"— ду ма ла она. — Ах, вот почему Казанзаки его талантом назвал! ",b1
"Собаки сидят по классам и учат «историю знаменитых собак», «правила хорошего собачьего поведения», «как надо есть мозговую кость» и прочие подходящие для них штуки.",0.7243774199468577,"Собаки сидят в классах и учат «историю знаменитых собак», «правила собачьего поведения», «как надо есть косточку» и другие нужные вещи.",b1
"Алексей Александрович не интересовался скачками и потому не глядел на скакавших, а рассеянно стал обводить зрителей усталыми глазами. ",0.8618557881669807,"Алексей Александрович не интересовался скачками и потому не глядел на скакавших, а стал рассматривать зрителей усталыми глазами. ",b1
"Потом, так как вам известно, сколько у них денег, и все равно вас в этом отношении уж не надуешь, то подадут вам чай с вчерашними сухарями и заговорят о цене на говядину, и о старшем дворнике, и о том, что в старой квартире дуло с пола, а в новой дует с потолка, но зато она дороже на десять рублей в месяц.",0.9873456451567038,"Потом, так как вам известно, сколько у них денег, и всё равно вас в этом отношении уж не надуешь, то подадут вам чай с вчерашними сухарями и заговорят о цене на говядину, и о старшем дворнике, и о том, что в старой квартире дуло с пола, а в новой дует с потолка, но зато она дороже на десять рублей в месяц. ",b1_c1
"Какие бы ты глупости ни говорила, я все равно не слышу.",0.9370252234333672,"Какие бы ты глупости ни говорила, я всё равно не слышу.",b2
Варя побледнела,0.1649690805939769,С Петей Варя решила встретиться на следующий день. ,b1
"На риск опоздать к Епанчиным и отложить свою поездку в Павловск до завтра, князь решился идти разыскивать дом, в который ему так хотелось зайти.",0.6251575013604006,"Князь решился идти разыскивать дом, в который ему так хотелось зайти.",b1
"Такой вы вздор говорите, надоело вас слушать. ",0.9999999999999996,"Такой вы вздор говорите, надоело вас слушать. ",b2
"Факир – это человек который сам себя режет, а ему даже приятно, и кровь не идет. ",0.7849108340396029,"Факир — это человек, который сам себя режет, и ему даже приятно, и кровь не идёт. ",b1
Никогда еще Варя не оказывалась в столь изысканном обществе. ,0.1538934261664994,"Девушка удивилась: «Почему он здесь, в таком высоком обществе? ",b1
"Во-вторых, он уже никогда не позволит себе увлечься гадкою страстью, воспоминанье о которой так мучало его, когда он собирался сделать предложение. ",0.5575028533145477,"Во-вторых, он уже никогда не будет вспоминать то, что было раньше, когда он собирался сделать предложение Кити. ",b1
"Затем, еще не успев догадаться о припадке и увидев, что князь отшатнулся от него и вдруг упал навзничь, прямо вниз по лестнице, с розмаху ударившись затылком о каменную ступень. ",0.5919146752910193,"Увидев, что князь вдруг упал навзничь, прямо вниз по лестнице, с размаху ударившись затылком о каменную ступень, Рогожин мг-новенно бросился вниз, обежал лежавшего и почти без памяти выбежал из гостиницы.",b1
"Видно было, что, посвятив много труда на улучшение и украшение своей усадьбы, Вронский чувствовал необходимость похвастаться ими пред новым лицом и от души радовался похвалам Дарьи Александровны",0.690834660376139,"Видно было, что Вронский чувствовал необходимость рассказать о них новым лицам и от души радовался похвалам Дарьи Александровны",b1
"Идея Федора Тимофеевича - большой шлем: он, когда размышляет, размышляет только об этом; соображение средств и путей, ведущих к полным тринадцати взяткам, есть его любимая дума после забот, после дел, даже средь дел и забот; он только думает, как бы задать большой шлем; он отдыхает на этой думе, в ней ищет отвлеченных наслаждений, на ней катается и балансирует; она в нем как свинец в груди китайского болванчика, который, как бы вы его ни поставили, боком, навзничь и вверх дном, всегда сам собою перекувырнется и станет на ноги. ",0.55370196523446,"Идея Фёдора Тимофеевича — карты: он, когда размышляет, только об этом; это есть его любимая дума после забот, после дел, даже средь дел и забот; он отдыхает на этой думе. ",b1_c1
"Двадцать лет она приходила в себя после Крымской кампании, еще двадцать лет она будет зализывать раны нынешней войны. ",0.5319845824180589,Россия двадцать лет собирала силы после Крымской войны. ,b1
"Лицо было такое же как всегда, разве что чуть бледнее. ",0.3983724537539331,"Может, кожа была чуть бледнее, чем всегда. ",b1
"Вечером, вечером!",0.130378680015351,"Варя вышла на улицу, чтобы посмотреть на южное вечернее небо. ",b1
"И интересно, мы теперь совсем не можем знать, что, собственно, будет считаться высоким, важным и что жалким, смешным. ",1.0,"И интересно, мы теперь совсем не можем знать, что, собственно, будет считаться высоким, важным и что жалким, смешным. ",b2
"Он сидел в углу, как бы ожидая чего-то, а впрочем и сам не зная зачем; ему и в голову не приходило уйти, видя суматоху в доме; казалось, он забыл всю вселенную и готов был высидеть хоть два года сряду, где бы его ни посадили. ",0.5492474809004791,"Он сидел в углу, сам не зная зачем; ему и в голову не приходило уйти. ",b1
"«Однако ж, — сказала она со вздохом, — хоть барышня, может, и смешна, всё же я перед нею дура безграмотная». — «И! ",0.5126051113825668,"«Но, — сказала Лиза, — хоть барышня, может, и смеш на, всё же я перед ней дура безграмотная». — «Есть о чём беспокоиться! ",a2
"Школы не помогут, а поможет такое экономическое устройство, при котором народ будет богаче, будет больше досуга, — и тогда будут и школы",0.7753317086668625,"Народ в России беден и необразован, школы тут не помогут, а поможет такое экономическое устройство, при котором народ будет богаче, будет больше свободного времени, — и тогда будут и школы. ",b1
"Уметь играть так роскошно и в то же время сознавать, что тебя никто, никто не понимает!",0.9999999999999998,"Уметь играть так роскошно и в то же время сознавать, что тебя никто, никто не понимает!",b2
"Татьяна Алексеевна заволновалась: — Не зашла бы гроза, как вчера, тогда как же?",0.8627676259418829,"Татьяна Алексеевна заволновалась: — Не началась бы гроза, как вчера, тогда как же?",b1_c1
"Ничего, пусть поплачет, пусть… Хорошая моя Маша, добрая моя Маша… Ты моя жена, и я счастлив, что бы там ни было… Я не жалуюсь, не делаю тебе ни одного упрека… Вот и Оля свидетельница… Начнем жить опять по-старому, и я тебе ни одного слова, ни намека… Маша (сдерживая рыдания). ",0.359344818392861,"Ты моя жена, и я счастлив, что бы там ни было... ",b2
"«Как хорошо и спокойно: все спят», — подумал он, успокаиваясь; и тут внезапно — так всегда было в этом чудесном сне, внезапно вспомнил, что, кроме этих хороших комнат, у него есть другие, прекраснейшие, — в которых он почему-то давно не был, даже совсем забыл о них. ",0.4960371086380667,"«Как хорошо и спокойно: все спят», — подумал он, успокаиваясь. ",b1_c1
"Опытному человеку сразу было видно, что юноша из хорошей семьи, на банк забрел впервые и всего здесь дичится. ",0.3416228847377595,"Опытные игроки сразу увидели в Фандорине молодого человека из хорошей семьи, который впервые пришёл играть, а он думал, что его никто не заметил",b1
Подумайте сами: вдруг ни с того ни с сего — пожалуйте наследство,0.8740915092667718,Подумайте сами: вдруг ни с того ни с сего — наследство. ,b1_c1
"Она вышла замуж восемнадцати лет, когда он казался ей самым умным человеком. ",1.0000000000000002,"Она вышла замуж восемнадцати лет, когда он казался ей самым умным человеком. ",b2
"- Хорошо, я вам расскажу, - проговорил князь как бы в глубоком раздумьи.",0.7267333558314739,"— Хорошо, я вам расскажу, — проговорил князь как бы вглубоком раздумье.",b1
"И вот, такова его сила и до того уже приучен, покорен и трепетно послушен ему народ, что толпа немедленно раздвигается пред стражами, и те, среди гробового молчания, вдруг наступившего, налагают на него руки и уводят его. ",0.6405316113738658,"И вот, такова его сила, что толпа немедленно раздвигается пред стражами, и те уводят его. ",b1_c1
"И - он так давно не видал ее, ему надо ее увидеть, и… да, он желал бы теперь встретить Рогожина, он бы взял его за руку, и они бы пошли вместе… Сердце его чисто; разве он соперник Рогожину? ",0.5957855952670876,Сердце его чисто; разве он соперник Рогожину? ,b1
"Несомненно, что это открытие одного из самых фундаментальных законов природы должно было в истории науки поставить имя Ломоносова в ряду крупнейших мировых ученых. ",0.9686704401360196,"Несомненно, что это открытие одного из самых фундаментальных законов природы должно было в истории науки поставить имя Ломоносова в ряду крупнейших мировых учёных. ",b1_c1
"Когда мы кутим, мы не стесняем себя пространством, не ограничиваемся одной только столовой, а берем весь дом и часто даже всю усадьбу… В «мозаиковой» гостиной я выбрал себе турецкую софу, лег на нее и отдал себя во власть фантазий и воздушных замков. ",0.2202832608799365,"Потом Сергей встал и пошёл в гостиную с мозаикой, лёг на турецкий диван. ",b1
"Когда я, еще в начале моего житья в деревне, - вот когда я уходил тосковать один в горы, - когда я, бродя один, стал встречать иногда, особенно в полдень, когда выпускали из школы, всю эту ватагу шумную, бегущую с их мешочками и грифельными досками, с криком, со смехом, с играми, то вся душа моя начинала вдруг стремиться к ним. ",0.7526027213073957,"Когда я, ещё в начале моей жизни в деревне, — вот когда я уходил тосковать один в горы, — их выпускали из школы, всю эту толпу шумную, бегущую с их узелками, с криком, со смехом, с играми, то вся душа моя начинала вдруг стремиться к ним. ",b1
В эту минуту мимо нас прошел молодой человек. ,0.929761162506018,В эту минуту мимо нас прошёл молодой человек. ,b1
"Я несчастлив, Сергей Петрович!",0.320303144226445,"А граф, Сергей и счастливый Урбенин обедали и разговаривали",b1
"Я на это дело, признаюсь тебе, никогда серьезно не могла смотреть; только ""на всякий случай"" взялась за него, на смешной ее характер рассчитывая, а главное, чтобы тебя потешить; девяносто шансов было, что лопнет. ",0.4320378877670117,"Я на это дело, признаюсь тебе, никогда серьёзно не могла смотреть. ",b1
"Только, конечно, ходу ему не дают, да и хвастать он не умеет… Изобретет что-нибудь и поломает или же детишкам отдаст поиграть, а ваш француз изобретет какую-нибудь чепуху и на весь свет кричит. ",0.4489828135952361,"Только, конечно, ходу ему не дают, да и хвастать он не умеет... ",b1_c1
"Позвольте мне в сей радостный день высказать перед вами всё, что накопилось тут, в груди, под сводами моего душевного здания… Пред вами старец, убеленный сединами, стоящий одною ногою в могиле… Я… я плачу. ",0.106236681778962,"Репутация… (кашляет) репутация банка поднята вами на такую высоту, что наше учреждение может сегодня соперничать с лучшими заграничными учреждениями… Шипучин. ",a2_b1
В эту самую тяжелую минуту одинокого отчаяния она приехала к нему и без доклада вошла в его кабинет. ,0.9183497492177968,В эту самую тяжёлую минуту одинокого отчаяния она приехала к нему и без доклада вошла в его кабинет,b1
"Это было не то, чего она ждала",1.0,"Это было не то, чего она ждала",b1
"- вопил Лебедев, ползая на коленках перед Настасьей Филипповной и простирая руки к камину: - сто тысяч! ",0.7588293344592248,"— кричал Лебедев, ползая на коленках перед Настасьей Филипповной. — Сто тысяч! ",b1
— А разве вы не хотите поговорить с Надеждой Николаевной? ,0.8069332371165487,— Разве вы не хотите поговорить с Надеждой Николаевной? ,b1
"Уже жалея, что пришла, она сказала: — Граф, вам не стыдно? ",0.5018782185862868,"Она ещё раз внимательно посмотрела на Зурова и спросила: — Граф, вам не стыдно? ",b1
"Он шел пешком, не спеша (своих лошадей у него еще не было), и всё время напевал: Когда еще я не пил слез из чаши бытия… В городе он пообедал, погулял в саду, потом как-то само собой пришло ему на память приглашение Ивана Петровича, и он решил сходить к Туркиным, посмотреть, что это за люди",0.4495661935835342,"Он шёл пешком (своих лошадей у него ещё не было), не спешил и всё время пел.",b1
Ведь любишь?,0.4482111000201734,Успокойся… Нас ждут… — Ведь ты меня любишь? ,b1
"Он видел то, чего не видел или не хотел видеть его ослепленный отец. ",0.3497531651947012,Несколько дней назад его видел в городе её отец. ,b1
"Только бабушка подозвала меня к себе в одно утро и сказала, что так как она слепа, то за мной не усмотрит, взяла булавку и пришпилила мое платье к своему, да тут и сказала, что так мы будем всю жизнь сидеть, если, разумеется, я не сделаюсь лучше. ",0.8830804504924641,"Только бабушка подозвала меня к себе в одно утро и сказала, что так как она слепа, то за мной смотреть не может, взяла булавку и пристегнула моё платье к своему, да тут и сказала, что так мы будем всю жизнь сидеть, если, разумеется, я не сделаюсь лучше. ",b1
"Спать я легла такая гордая, такая веселая, так сердце билось, что сделалась маленькая лихорадка и я всю ночь бредила о «Севильском цирюльнике»  Я думала, что после этого он все будет заходить чаше и чаще, — не тут-то было. ",0.607799080927957,"Спать я легла такая гордая, такая весёлая и всю ночь мечтала о «Севильском цирюльнике».",b1
"Очень, очень оригинально, но… меня, собственно, не эта часть вашей статейки заинтересовала, а некоторая мысль, пропущенная в конце статьи, но которую вы, к сожалению, проводите только намеком, неясно… Одним словом, если припомните, проводится некоторый намек на то, что существуют на свете будто бы некоторые такие лица, которые могут… то есть не то что могут, а полное право имеют совершать всякие бесчинства и преступления, и что для них будто бы и закон не писан.",0.4949560974437226,"Очень, очень оригинально, но... меня собственно не эта часть вашей статейки заинтересовала, а некоторая мысль в конце статьи... ",b1_c1
"Черт знает… Третьего дня разговор в клубе; говорят, Шекспир, Вольтер… Я не читал, совсем не читал, а на лице своем показал, будто читал. ",0.5330185655737788,"Я не читал, совсем не читал, а на лице своём показал, будто читал. ",b2
"— заговорил было я, но у меня сил недостало продолжать, на нее глядя, да и что бы я стал говорить? ",0.8938337412268016,"— заговорил было я, но у меня сил не было продолжать, на неё глядя, да и что бы я стал говорить?",b1
То-то встречные мужчины смотрят сквозь и мимо!,0.1901286461122382,"Она посмотрела на себя в зеркало, и... поняла, почему никто из мужчин не смотрит на неё! ",b1
"Там, в главной армейской квартире, находился Петя Яблоков, Варин … собственно, не совсем понятно кто. ",0.2973034689644893,"Туда ей надо было потому, что в этой деревне сейчас находился штаб русской армии, в котором служил Петя Яблонов. ",b1
#ИМЯ?,0.414191612612213,— спросил испуганный Гаврила Ардалионович. — Н-нет... я... н-нет. — Аглая холодно смотрела на него,b1
"Княгиня Бетси просила извинить, что она не приехала проститься; она нездорова, но просила Анну приехать к ней между половиной седьмого и девятью часами. ",0.7515076102325075,Княгиня про сила Анну приехать к ней между половиной седьмого и девятью часами. ,b1
"Бабушка хоть и слепа, а все-таки ей хотелось музыку слушать, да, кроме того, она старушка добрая: больше меня потешить хотела, сами-то мы никогда бы не собрались. ",0.847440000275222,"Бабушка хоть и слепа, а всё-таки ей хотелось музыку слушать, да, кроме того, она старушка добрая: больше мне приятное хотела сделать, самито мы никогда бы не собрались. ",b1
"Перегнувшись весь вперед и цепляясь калошами о ступени, Капитоныч бежал за ней, стараясь перегнать ее",0.3809021607677531,"Старик бежал за ней, стараясь перег-нать её",b1
"Пусть водят нас хоть раз в неделю, а мы, сложив лапки, будем культурно наслаждаться.",0.6971392602801728,"Пусть водят нас в кино один раз в неделю, а мы будем куль турно наслаждаться. ",b1
"Но, пробыв два месяца один в деревне, он убедился, что это не было одно из тех влюблений, которые он испытывал в первой молодости; что чувство это не давало ему минуты покоя; что он не мог жить, не решив вопроса: будет или не будет она его женой; и что его отчаяние происходило только от его воображения, что он не имеет никаких доказательств в том, что ему будет отказано. ",0.5060100484555625,"Но пробыв два месяца один в деревне, он понял, что он не может жить, не решив вопроса: будет или не будет Кити его женой. ",b1
"Ну, оставим, оставим это, — перебила Настенька, задыхаясь от волнения, — я вам только хотела сказать... я вам хотела сказать, что если, несмотря на то что я люблю его (нет, любила его), если, несмотря на то, вы еще скажете... если вы чувствуете, что ваша любовь так велика, что может, наконец, вытеснить из моего сердца прежнюю... если вы захотите сжалиться надо мною, если вы не захотите меня оставить одну в моей судьбе, без утешения, без надежды, если вы захотите любить меня всегда, как теперь меня любите, то клянусь, что благодарность... что любовь моя будет наконец достойна вашей любви... ",0.7174481845734899,"если вы чувствуете, что ваша любовь так велика, что может нако нец вытеснить из моего сердца старую... если вы не захотите меня оставить одну в моей судьбе, без надежды, если вы захотите любить меня всегда, как теперь меня любите, то кляну-сь, что любовь моя будет наконец достойна вашей любви... ",b1
"Я часто думаю, как для меня ты погубил свою жизнь",0.6832929797993214,"Я часто думаю, как для меня ты пожертвовал своей жизнью",b1
"Вы, человек интеллигентный и пожилой, ни разу не слыхали про меня — доказательство убедительное! ",1.0,"Вы, человек интеллигентный и пожилой, ни разу не слыхали про меня — доказательство убедительное! ",b1_c1
"Однако между городами и селами тянулись безлюдные пространства, иногда трудно преодолеваемые. ",0.9458291220237,"Однако между городами и сёлами тянулись безлюдные пространства, иногда трудно преодолеваемые. ",b1_c1
"Он знает, какого мучения ей стоит всякое воспоминание о нем, и, зная ее, требует от нее письма. ",0.8735520081599425,"Он знает, какого мучения ей стоит всякое воспоминание о нём, и, зная её, требует от неё письма. ",b1
"Может быть, это необходимо; я не берусь судить, да и не могу; я не рассуждаю о войне и отношусь к ней непосредственным чувством, возмущённым массою пролитой крови. ",1.0000000000000004,"Может быть, это необходимо; я не берусь судить, да и не могу; я не рассуждаю о войне и отношусь к ней непосредственным чувством, возмущённым массою пролитой крови. ",b1_c1
